1			
60			
-2,	3700,
-363,	3682,
-721,	3628,
-1074,	3540,
-1415,	3418,
-1745,	3262,
-2348,	2859,
-2617,	2615,
-2861,	2346,
-3077,	2054,
-3263,	1744,
-3418,	1415,
-3540,	1074,
-3628,	721,
-3682,	362,
-3700,	0,
-3682,	-362,
-3628,	-721,
-3540,	-1074,
-3418,	-1415,
-3263,	-1744,
-3076,	-2055,
-2860,	-2347,
-2616,	-2616,
-2347,	-2860,
-2055,	-3076,
-1744,	-3263,
-1415,	-3418,
-1074,	-3540,
-362,	-3682,
0,	-3700,
362,	-3682,
721,	-3628,
1074,	-3540,
1415,	-3418,
1744,	-3263,
2055,	-3076,
2347,	-2860,
2616,	-2616,
2860,	-2347,
3076,	-2055,
3263,	-1744,
3418,	-1415,
3540,	-1074,
3682,	-362,
3700,	2,
3682,	363,
3628,	721,
3540,	1074,
3418,	1415,
3262,	1745,
2859,	2348,
2615,	2617,
2346,	2861,
2054,	3077,
1744,	3263,
1415,	3418,
1074,	3540,
721,	3628,
362,	3682,
